64.209.181.52 - - [31/Jul/2000:03:26:09 +0200] "GET /~dhtml/laborationer/javascriptlab.html HTTP/1.0" 200 6320
216.35.116.57 - - [01/Aug/2000:09:18:22 +0200] "GET /~dhtml/page2.html HTTP/1.0" 304 -
195.66.33.98 - - [02/Aug/2000:13:26:17 +0200] "GET /~dhtml HTTP/1.0" 301 302
195.66.33.98 - - [02/Aug/2000:13:26:17 +0200] "GET /~dhtml/ HTTP/1.0" 200 7502
195.66.33.98 - - [02/Aug/2000:13:26:17 +0200] "GET /~dhtml/back.gif HTTP/1.0" 200 1307
195.66.33.98 - - [02/Aug/2000:13:26:17 +0200] "GET /~dhtml/blnk.gif HTTP/1.0" 200 56
195.66.33.98 - - [02/Aug/2000:13:26:17 +0200] "GET /~dhtml/img1.gif HTTP/1.0" 200 7216
195.66.33.98 - - [02/Aug/2000:13:26:18 +0200] "GET /~dhtml/img0.gif HTTP/1.0" 200 6835
195.66.33.98 - - [02/Aug/2000:13:26:18 +0200] "GET /~dhtml/img2.gif HTTP/1.0" 200 2820
195.66.33.98 - - [02/Aug/2000:13:26:18 +0200] "GET /~dhtml/img3.gif HTTP/1.0" 200 1805
195.66.33.98 - - [02/Aug/2000:13:26:18 +0200] "GET /~dhtml/img4.gif HTTP/1.0" 200 2253
195.66.33.98 - - [02/Aug/2000:13:26:18 +0200] "GET /~dhtml/img5.gif HTTP/1.0" 200 5348
194.71.24.5 - - [03/Aug/2000:08:37:57 +0200] "GET /~dhtml HTTP/1.1" 301 314
194.71.24.5 - - [03/Aug/2000:08:37:57 +0200] "GET /~dhtml/ HTTP/1.1" 200 7502
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/back.gif HTTP/1.1" 200 1307
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 200 56
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/img0.gif HTTP/1.1" 200 6835
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/img1.gif HTTP/1.1" 200 7216
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/img2.gif HTTP/1.1" 200 2820
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/img3.gif HTTP/1.1" 200 1805
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/img4.gif HTTP/1.1" 200 2253
194.71.24.5 - - [03/Aug/2000:08:37:58 +0200] "GET /~dhtml/img5.gif HTTP/1.1" 200 5348
194.71.24.5 - - [03/Aug/2000:08:38:12 +0200] "GET /~dhtml/page5.html HTTP/1.1" 200 6298
194.71.24.5 - - [03/Aug/2000:08:38:12 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 304 -
194.71.24.5 - - [03/Aug/2000:08:38:12 +0200] "GET /~dhtml/back.gif HTTP/1.1" 304 -
194.71.24.5 - - [03/Aug/2000:08:38:13 +0200] "GET /~dhtml/img29.gif HTTP/1.1" 200 2008
194.71.24.5 - - [03/Aug/2000:08:38:13 +0200] "GET /~dhtml/img28.gif HTTP/1.1" 200 5528
194.71.24.5 - - [03/Aug/2000:08:38:13 +0200] "GET /~dhtml/img30.gif HTTP/1.1" 200 2823
194.71.24.5 - - [03/Aug/2000:08:38:13 +0200] "GET /~dhtml/img21.gif HTTP/1.1" 200 2234
194.71.24.5 - - [03/Aug/2000:08:38:21 +0200] "GET /~dhtml/page4.html HTTP/1.1" 200 8898
194.71.24.5 - - [03/Aug/2000:08:38:21 +0200] "GET /~dhtml/back.gif HTTP/1.1" 304 -
194.71.24.5 - - [03/Aug/2000:08:38:21 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 304 -
194.71.24.5 - - [03/Aug/2000:08:38:21 +0200] "GET /~dhtml/img22.gif HTTP/1.1" 200 5582
194.71.24.5 - - [03/Aug/2000:08:38:21 +0200] "GET /~dhtml/img7.gif HTTP/1.1" 200 2815
194.71.24.5 - - [03/Aug/2000:08:38:22 +0200] "GET /~dhtml/img23.gif HTTP/1.1" 200 1739
194.71.24.5 - - [03/Aug/2000:08:38:22 +0200] "GET /~dhtml/img24.gif HTTP/1.1" 200 1246
194.71.24.5 - - [03/Aug/2000:08:38:22 +0200] "GET /~dhtml/img25.gif HTTP/1.1" 200 2370
194.71.24.5 - - [03/Aug/2000:08:38:22 +0200] "GET /~dhtml/img26.gif HTTP/1.1" 200 2890
194.71.24.5 - - [03/Aug/2000:08:38:22 +0200] "GET /~dhtml/img27.gif HTTP/1.1" 200 1822
194.71.24.5 - - [03/Aug/2000:08:38:22 +0200] "GET /~dhtml/img21.gif HTTP/1.1" 304 -
193.15.218.49 - - [03/Aug/2000:16:05:37 +0200] "GET /~dhtml/laborationer/javascriptlab.html HTTP/1.1" 200 6320
208.219.77.29 - - [05/Aug/2000:09:48:26 +0200] "HEAD /~dhtml/page5.html HTTP/1.1" 200 0
208.219.77.29 - - [05/Aug/2000:09:53:56 +0200] "HEAD /~dhtml/page4.html HTTP/1.1" 200 0
208.219.77.29 - - [05/Aug/2000:09:58:55 +0200] "HEAD /~dhtml/page3.html HTTP/1.1" 200 0
208.219.77.29 - - [05/Aug/2000:10:06:59 +0200] "HEAD /~dhtml/page2.html HTTP/1.1" 200 0
208.219.77.29 - - [05/Aug/2000:10:48:30 +0200] "HEAD /~dhtml/index.html HTTP/1.1" 200 0
62.172.199.24 - - [06/Aug/2000:04:31:19 +0200] "GET /~dhtml/laborationer/javascriptlab.html HTTP/1.0" 200 6320
208.219.77.29 - - [06/Aug/2000:14:24:18 +0200] "HEAD /~dhtml/laborationer/javascriptlab.html HTTP/1.1" 200 0
213.188.8.2 - - [06/Aug/2000:19:57:22 +0200] "GET /~dhtml HTTP/1.0" 301 302
213.188.8.2 - - [06/Aug/2000:22:56:15 +0200] "GET /~dhtml/ HTTP/1.0" 200 7502
195.67.108.14 - - [08/Aug/2000:13:19:00 +0200] "GET /~dhtml HTTP/1.1" 301 314
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/ HTTP/1.1" 200 7502
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/back.gif HTTP/1.1" 200 1307
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 200 56
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/img0.gif HTTP/1.1" 200 6835
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/img1.gif HTTP/1.1" 200 7216
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/img2.gif HTTP/1.1" 200 2820
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/img3.gif HTTP/1.1" 200 1805
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/img4.gif HTTP/1.1" 200 2253
195.67.108.14 - - [08/Aug/2000:13:19:01 +0200] "GET /~dhtml/img5.gif HTTP/1.1" 200 5348
195.67.108.14 - - [08/Aug/2000:13:19:13 +0200] "GET /~dhtml/page3.html HTTP/1.1" 200 10958
195.67.108.14 - - [08/Aug/2000:13:19:13 +0200] "GET /~dhtml/img12.gif HTTP/1.1" 200 5839
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img13.gif HTTP/1.1" 200 2811
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img14.gif HTTP/1.1" 200 1873
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img15.gif HTTP/1.1" 200 1933
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img16.gif HTTP/1.1" 200 1783
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img17.gif HTTP/1.1" 200 1900
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img19.gif HTTP/1.1" 200 1688
